,auth_dt,state_name,purchase_category_nm,online_part,online_regarding_avg,offline_regarding_avg,total_regarding_avg,coronaindex,day,month,year
2361709,02-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,20.0,102.0,210.51,174.0,10.0,2,9,2021
2361716,20-09-2021,Республика Бурятия,АВТО УСЛУГИ,14.34,956.0,303.74,337.0,7.5,20,9,2021
2361804,22-09-2021,Республика Бурятия,КНИГИ,0.0,0.0,661.28,568.0,10.0,22,9,2021
2362254,29-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,31.91,94.0,186.06,142.0,2.8,29,9,2021
2362492,15-09-2021,Республика Бурятия,ТОПЛИВО,0.38,,251.81,253.0,8.9,15,9,2021
2363972,23-09-2021,Республика Бурятия,ФОТО/ВИДЕО,40.0,142.0,446.46,240.0,10.0,23,9,2021
2364411,25-09-2021,Республика Бурятия,ЦВЕТЫ,5.26,624.0,410.66,418.0,2.0,25,9,2021
2368863,15-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,47.89,288.0,290.98,290.0,3.8,15,9,2021
2368866,18-09-2021,Республика Бурятия,КРАСОТА,13.75,98.0,248.02,205.0,10.0,18,9,2021
2370902,14-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,104.23,54.0,4.3,14,9,2021
2372754,21-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,37.5,209.0,179.76,190.0,8.1,21,9,2021
2373916,23-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,39.68,248.0,194.71,213.0,4.9,23,9,2021
2374322,08-09-2021,Республика Бурятия,ТОПЛИВО,0.4,,238.89,240.0,8.8,8,9,2021
2375510,10-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",8.0,484.0,333.0,342.0,8.7,10,9,2021
2377769,20-09-2021,Республика Бурятия,ЦВЕТЫ,0.0,0.0,435.75,420.0,2.1,20,9,2021
2378551,01-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",10.39,578.0,186.2,200.0,7.6,1,9,2021
2379726,11-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,3.59,516.0,303.36,308.0,10.0,11,9,2021
2380652,10-09-2021,Республика Бурятия,ЦВЕТЫ,16.67,1902.0,347.95,403.0,1.8,10,9,2021
2381504,12-09-2021,Республика Бурятия,КРАСОТА,23.96,207.0,264.67,248.0,10.0,12,9,2021
