month,purchase_category_nm,coronaindex
7,АВИАБИЛЕТЫ,3.0839852679705357
4,Ж/Д БИЛЕТЫ,3.1376632117377845
4,КРАСОТА,3.155168332456602
12,СУВЕНИРЫ,3.1662512171372934
4,ФОТО/ВИДЕО,3.1704429177020903
1,ФОТО/ВИДЕО,3.1706209969367865
11,СПОРТТОВАРЫ,3.1785332011892966
7,СУВЕНИРЫ,3.186583947266382
12,ОТЕЛИ,3.2108703987730065
8,АВИАБИЛЕТЫ,3.2385416666666664
10,СПОРТТОВАРЫ,3.251099419937947
9,АВИАБИЛЕТЫ,3.2607349081364827
11,ОТЕЛИ,3.266679904686259
3,АВИАБИЛЕТЫ,3.2754716981132073
5,"ОДЕЖДА, ОБУВЬ",3.2864861445020876
6,КНИГИ,3.3022814696909406
12,АВИАБИЛЕТЫ,3.313814786585366
1,Ж/Д БИЛЕТЫ,3.3351791530944626
6,ОТЕЛИ,3.336273987206823
5,ТУРАГЕНТСТВА,3.3638979531296354
3,СПОРТТОВАРЫ,3.3705639969096057
1,"ОДЕЖДА, ОБУВЬ",3.376506329113924
3,Ж/Д БИЛЕТЫ,3.4131725657980034
7,КНИГИ,3.4166304208775746
4,РАЗВЛЕЧЕНИЯ,3.4180152872957303
9,СУВЕНИРЫ,3.4205953016550987
12,СПОРТТОВАРЫ,3.4238269230769234
3,ОТЕЛИ,3.4286724980704912
1,ОТЕЛИ,3.4288345138441727
5,ФОТО/ВИДЕО,3.4327907623817477
5,Ж/Д БИЛЕТЫ,3.4492608921161825
2,КИНО,3.4610193223186783
10,АРЕНДА АВТО,3.4822701949860724
11,АВИАБИЛЕТЫ,3.491439842209073
1,КНИГИ,3.504355670103093
3,КНИГИ,3.5190065628619225
1,АВИАБИЛЕТЫ,3.5265303514376996
5,РАЗВЛЕЧЕНИЯ,3.527504136438844
5,КРАСОТА,3.5379393477985026
12,Ж/Д БИЛЕТЫ,3.571546908110191
4,МУЗЫКА,3.582168199737188
2,"ОДЕЖДА, ОБУВЬ",3.5864756367663344
11,Ж/Д БИЛЕТЫ,3.590403032721468
