iter	Passed	Remaining
681	4181	1949
682	4190	1945
683	4197	1939
684	4207	1935
685	4215	1929
686	4223	1924
687	4229	1917
688	4237	1912
689	4243	1906
690	4252	1901
691	4258	1895
692	4267	1890
693	4274	1884
694	4281	1878
695	4293	1875
696	4305	1871
697	4318	1868
698	4325	1862
699	4336	1858
700	4342	1852
701	4350	1846
702	4357	1840
703	4366	1835
704	4373	1830
705	4381	1824
706	4389	1819
707	4398	1814
708	4405	1808
709	4412	1802
710	4418	1795
711	4424	1789
712	4431	1783
713	4437	1777
714	4443	1771
715	4450	1765
716	4458	1759
717	4467	1754
718	4473	1748
719	4479	1742
720	4485	1735
721	4490	1729
722	4496	1722
723	4502	1716
724	4507	1709
725	4513	1703
726	4518	1696
727	4523	1690
728	4530	1684
729	4535	1677
730	4541	1671
731	4546	1664
732	4550	1657
733	4555	1651
734	4562	1644
735	4567	1638
736	4573	1632
737	4579	1625
738	4585	1619
739	4591	1613
740	4596	1606
741	4601	1599
742	4607	1593
743	4612	1587
744	4617	1580
745	4624	1574
746	4629	1568
747	4634	1561
748	4640	1555
749	4645	1548
750	4651	1542
751	4656	1535
752	4662	1529
753	4667	1522
754	4672	1516
755	4678	1509
756	4683	1503
757	4688	1497
758	4694	1490
759	4699	1484
760	4705	1477
761	4711	1471
762	4716	1465
763	4722	1458
764	4727	1452
765	4733	1445
766	4739	1439
767	4746	1433
768	4752	1427
769	4759	1421
770	4765	1415
771	4772	1409
772	4778	1403
773	4785	1397
774	4796	1392
775	4806	1387
776	4813	1381
777	4822	1376
778	4830	1370
779	4840	1365
780	4850	1360
781	4862	1355
782	4872	1350
783	4882	1345
784	4894	1340
785	4902	1334
786	4909	1328
787	4916	1322
788	4923	1316
789	4930	1310
790	4936	1304
791	4944	1298
792	4951	1292
793	4960	1287
794	4972	1282
795	4982	1276
796	4994	1272
797	5006	1267
798	5016	1262
799	5028	1257
800	5041	1252
801	5053	1247
802	5064	1242
803	5082	1238
804	5096	1234
805	5111	1230
806	5127	1226
807	5143	1222
808	5159	1218
809	5173	1213
810	5183	1207
811	5192	1202
812	5202	1196
813	5212	1191
